seed,score,percentage
89550,63,20
97408,63,20
37917,64,20
69182,64,20
22368,65,20
28433,65,20
75817,65,20
89557,65,20
94815,65,20
943,66,20
8314,66,20
8871,66,20
17591,66,20
25228,66,20
34665,66,20
38023,66,20
40324,66,20
43111,66,20
50887,66,20
58583,66,20
72270,66,20
94502,66,20
98604,66,20
23108,67,20
30014,67,20
49159,67,20
86176,67,20
33027,68,20
35760,68,20
37436,68,20
40515,68,20
48894,68,20
54451,68,20
96183,68,20
2006,69,20
2695,69,20
6427,69,20
9630,69,20
9814,69,20
18488,69,20
21770,69,20
25438,69,20
25451,69,20
28940,69,20
29431,69,20
32720,69,20
38567,69,20
39502,69,20
41578,69,20
43050,69,20
49689,69,20
50628,69,20
51225,69,20
56086,69,20
57100,69,20
59111,69,20
64722,69,20
65664,69,20
66201,69,20
68300,69,20
69226,69,20
71686,69,20
75937,69,20
76070,69,20
83680,69,20
86563,69,20
88740,69,20
90298,69,20
94650,69,20
20247,70,20
21545,70,20
56436,70,20
78819,71,20
81196,71,20
3029,73,20
21501,73,20
39226,73,20
61396,73,20
91855,73,20
36054,74,20
46695,74,20
60659,74,20
61024,74,20
74856,74,20
76040,74,20
77882,74,20
19201,75,20
27960,75,20
41484,75,20
67413,75,20
73892,75,20
75409,75,20
76786,75,20
76943,75,20
79375,75,20
83636,75,20
7005,76,20
336,77,20
1611,77,20
5520,77,20
12183,77,20
14518,77,20
38597,77,20
39063,77,20
56250,77,20
61187,77,20
65829,77,20
67911,77,20
72073,77,20
76915,77,20
88595,77,20
93592,77,20
94309,77,20
94477,77,20
97002,77,20
98214,77,20
3277,78,20
38081,78,20
49582,78,20
56253,78,20
61099,78,20
63851,78,20
5130,79,20
41012,79,20
23739,81,20
66770,81,20
24194,82,20
29484,82,20
41799,82,20
62864,82,20
96702,82,20
10170,83,20
32719,83,20
35770,83,20
47223,83,20
53097,83,20
61285,83,20
79438,83,20
81133,83,20
81793,83,20
94831,83,20
27023,84,20
32038,84,20
33355,84,20
38376,84,20
45751,84,20
54574,84,20
59609,84,20
71402,84,20
73608,84,20
82253,84,20
85717,84,20
90672,84,20
96467,84,20
2,87,20
14782,87,20
15023,87,20
20024,87,20
32035,87,20
35452,87,20
48954,87,20
49516,87,20
49650,87,20
51780,87,20
55451,87,20
56236,87,20
57524,87,20
72521,87,20
73746,87,20
83162,87,20
84839,87,20
86791,87,20
92947,87,20
721,89,20
2949,89,20
14835,89,20
18186,89,20
19467,89,20
23563,89,20
35833,89,20
43257,89,20
47426,89,20
48605,89,20
64480,89,20
66945,89,20
71029,89,20
85093,89,20
87738,89,20
98175,89,20
59168,90,20
10774,91,20
20397,91,20
50495,91,20
73033,91,20
10877,93,20
11796,93,20
12656,93,20
16271,93,20
17495,93,20
20174,93,20
24984,93,20
36010,93,20
46701,93,20
49140,93,20
58924,93,20
66138,93,20
70778,93,20
95409,93,20
9619,95,20
46115,95,20
48136,95,20
54817,95,20
63108,95,20
94464,95,20
19285,96,20
44921,96,20
64910,96,20
72833,96,20
73217,96,20
22611,98,20
33525,98,20
48475,98,20
6884,99,20
10437,99,20
17287,99,20
21949,99,20
27326,99,20
29072,99,20
29232,99,20
30931,99,20
39156,99,20
41703,99,20
51044,99,20
53493,99,20
53614,99,20
53785,99,20
56642,99,20
57478,99,20
59696,99,20
61037,99,20
62180,99,20
64182,99,20
64823,99,20
65991,99,20
69829,99,20
72344,99,20
76260,99,20
77326,99,20
80644,99,20
88071,99,20
88975,99,20
89308,99,20
96420,99,20
96531,99,20
98082,99,20
7394,100,20
18066,100,20
20400,100,20
82327,100,20
90878,100,20
70458,101,20
90044,101,20
28891,102,20
37525,102,20
41534,102,20
41777,102,20
48098,102,20
57197,102,20
90714,102,20
97882,102,20
29093,103,20
31589,103,20
32112,103,20
32133,103,20
34708,103,20
62169,103,20
88090,103,20
88914,103,20
88968,103,20
92594,103,20
10320,104,20
18687,104,20
80787,104,20
414,105,20
5089,105,20
11233,105,20
14090,105,20
26323,105,20
26439,105,20
28388,105,20
31524,105,20
36747,105,20
38275,105,20
38296,105,20
38927,105,20
42195,105,20
43258,105,20
43681,105,20
45818,105,20
46080,105,20
48519,105,20
50202,105,20
52225,105,20
52502,105,20
53970,105,20
54042,105,20
54501,105,20
58624,105,20
60128,105,20
64631,105,20
66286,105,20
67745,105,20
69957,105,20
76854,105,20
77723,105,20
81073,105,20
88231,105,20
93421,105,20
94284,105,20
97578,105,20
99401,105,20
35740,106,20
7012,107,20
9189,107,20
16635,107,20
17650,107,20
19910,107,20
21308,107,20
21488,107,20
22841,107,20
27434,107,20
31032,107,20
37816,107,20
41317,107,20
46646,107,20
48547,107,20
53454,107,20
56877,107,20
60972,107,20
61849,107,20
62004,107,20
65885,107,20
71886,107,20
71925,107,20
78820,107,20
79997,107,20
84083,107,20
85677,107,20
96303,107,20
97155,107,20
97895,107,20
98567,107,20
3705,108,20
32596,108,20
39962,108,20
41643,108,20
45525,108,20
50790,108,20
55013,108,20
63783,108,20
66788,108,20
69377,108,20
80675,108,20
82346,108,20
2999,109,20
3467,109,20
14140,109,20
23174,109,20
25009,109,20
35416,109,20
37642,109,20
59369,109,20
69473,109,20
84482,109,20
90599,109,20
95463,109,20
98429,109,20
6505,110,20
64431,110,20
68389,110,20
75759,110,20
83208,110,20
197,111,20
2461,111,20
3174,111,20
3783,111,20
4582,111,20
5590,111,20
8252,111,20
11182,111,20
13300,111,20
15768,111,20
28039,111,20
32073,111,20
32106,111,20
34186,111,20
35357,111,20
37991,111,20
39716,111,20
40172,111,20
40731,111,20
44069,111,20
45131,111,20
53439,111,20
53855,111,20
57860,111,20
59421,111,20
59483,111,20
62235,111,20
63129,111,20
68667,111,20
69852,111,20
72543,111,20
73585,111,20
75963,111,20
81200,111,20
82802,111,20
83969,111,20
86392,111,20
88105,111,20
90214,111,20
90602,111,20
90794,111,20
91455,111,20
91710,111,20
91908,111,20
95037,111,20
97137,111,20
452,112,20
1887,112,20
24394,112,20
21307,113,20
41068,113,20
73824,113,20
12206,114,20
20222,114,20
22736,114,20
28843,114,20
34676,114,20
35564,114,20
54208,114,20
64644,114,20
76004,114,20
77901,114,20
78454,114,20
79838,114,20
83555,114,20
85851,114,20
94676,114,20
97449,114,20
2264,115,20
3205,115,20
4514,115,20
5781,115,20
6740,115,20
8029,115,20
8372,115,20
10986,115,20
11940,115,20
12480,115,20
12508,115,20
14043,115,20
14476,115,20
16179,115,20
22480,115,20
23142,115,20
23848,115,20
27046,115,20
28712,115,20
33972,115,20
35609,115,20
36068,115,20
37521,115,20
38758,115,20
40538,115,20
41430,115,20
44316,115,20
45345,115,20
46516,115,20
49843,115,20
50679,115,20
52499,115,20
52736,115,20
53814,115,20
53839,115,20
57232,115,20
61679,115,20
62181,115,20
62366,115,20
62653,115,20
64554,115,20
68257,115,20
69699,115,20
71205,115,20
72231,115,20
72490,115,20
74222,115,20
75509,115,20
75731,115,20
76807,115,20
78044,115,20
79718,115,20
80658,115,20
80707,115,20
81253,115,20
82641,115,20
83351,115,20
85373,115,20
85544,115,20
87750,115,20
89260,115,20
93204,115,20
95611,115,20
97626,115,20
6901,116,20
36269,116,20
51594,116,20
5791,117,20
9068,117,20
13842,117,20
22132,117,20
22958,117,20
29693,117,20
60442,117,20
64623,117,20
68425,117,20
73124,117,20
74879,117,20
76081,117,20
84681,117,20
87772,117,20
90822,117,20
96824,117,20
13800,118,20
36264,118,20
94327,118,20
3007,119,20
9220,119,20
17892,119,20
19286,119,20
40416,119,20
54561,119,20
78100,119,20
79877,119,20
2375,120,20
4765,120,20
15722,120,20
17725,120,20
27877,120,20
34144,120,20
37988,120,20
74774,120,20
79996,120,20
86123,120,20
88791,120,20
729,121,20
971,121,20
14162,121,20
17318,121,20
23119,121,20
24177,121,20
25554,121,20
25794,121,20
30476,121,20
31748,121,20
32519,121,20
36556,121,20
37109,121,20
41481,121,20
41549,121,20
41589,121,20
47350,121,20
50180,121,20
51912,121,20
55110,121,20
55618,121,20
68940,121,20
70947,121,20
77413,121,20
81192,121,20
86201,121,20
86634,121,20
86955,121,20
95445,121,20
96355,121,20
97574,121,20
7432,122,20
11622,122,20
13216,122,20
22643,122,20
23780,122,20
25811,122,20
28447,122,20
30331,122,20
30841,122,20
31125,122,20
36090,122,20
36909,122,20
36998,122,20
41344,122,20
47114,122,20
50920,122,20
51147,122,20
54633,122,20
66174,122,20
67057,122,20
72381,122,20
76266,122,20
76406,122,20
93272,122,20
1044,123,20
16620,123,20
82711,123,20
18800,124,20
27979,124,20
35314,124,20
47993,124,20
49768,124,20
56529,124,20
57144,124,20
80125,124,20
86615,124,20
98025,124,20
98798,124,20
2393,125,20
11340,125,20
14799,125,20
15513,125,20
24311,125,20
40840,125,20
46995,125,20
52240,125,20
54105,125,20
61497,125,20
75411,125,20
75871,125,20
77558,125,20
5656,126,20
18432,126,20
21541,126,20
32248,126,20
33794,126,20
33822,126,20
40769,126,20
43813,126,20
45006,126,20
57014,126,20
57710,126,20
61283,126,20
71026,126,20
77098,126,20
82236,126,20
84523,126,20
92871,126,20
2516,127,20
4974,127,20
8688,127,20
14051,127,20
18224,127,20
19199,127,20
19500,127,20
21677,127,20
24538,127,20
27121,127,20
28693,127,20
29441,127,20
36170,127,20
36804,127,20
37734,127,20
40177,127,20
42000,127,20
42421,127,20
42468,127,20
46495,127,20
47937,127,20
48249,127,20
51170,127,20
53344,127,20
55237,127,20
55251,127,20
57474,127,20
57773,127,20
64205,127,20
66577,127,20
66817,127,20
69129,127,20
70050,127,20
71721,127,20
72564,127,20
74380,127,20
80051,127,20
82574,127,20
84996,127,20
85500,127,20
87635,127,20
88668,127,20
93626,127,20
94577,127,20
96030,127,20
96930,127,20
26901,129,20
43712,129,20
44471,129,20
92067,129,20
13142,130,20
21499,130,20
35067,130,20
37092,130,20
42635,130,20
58931,130,20
79240,130,20
81942,130,20
83869,130,20
49603,131,20
62962,131,20
85881,131,20
18359,132,20
18825,132,20
27350,132,20
28126,132,20
30505,132,20
31251,132,20
42668,132,20
55666,132,20
62569,132,20
63111,132,20
65581,132,20
94094,132,20
94290,132,20
97225,132,20
98440,132,20
444,133,20
1616,133,20
3059,133,20
4810,133,20
5297,133,20
14727,133,20
19176,133,20
20453,133,20
20503,133,20
26909,133,20
28172,133,20
36247,133,20
37889,133,20
42103,133,20
42994,133,20
43013,133,20
44360,133,20
55298,133,20
61696,133,20
68462,133,20
69508,133,20
70656,133,20
71350,133,20
73948,133,20
81210,133,20
82668,133,20
86466,133,20
87073,133,20
87669,133,20
93018,133,20
95377,133,20
97037,133,20
2201,134,20
7149,134,20
10166,134,20
18573,134,20
18706,134,20
21602,134,20
24702,134,20
25789,134,20
30749,134,20
32560,134,20
35610,134,20
38326,134,20
43991,134,20
50911,134,20
57743,134,20
61021,134,20
62627,134,20
84521,134,20
84745,134,20
88386,134,20
88672,134,20
98496,134,20
12460,135,20
19045,135,20
22346,135,20
43753,135,20
48876,135,20
50364,135,20
57182,135,20
58226,135,20
60097,135,20
70862,135,20
74569,135,20
88491,135,20
96863,135,20
4579,136,20
6289,136,20
19802,136,20
29446,136,20
51162,136,20
53211,136,20
54310,136,20
57352,136,20
76397,136,20
80315,136,20
92444,136,20
15691,137,20
19353,137,20
32410,137,20
38451,137,20
48288,137,20
53152,137,20
69483,137,20
71575,137,20
94639,137,20
97157,137,20
12886,138,20
24872,138,20
32517,138,20
36087,138,20
43232,138,20
46796,138,20
57217,138,20
79198,138,20
81017,138,20
6326,139,20
11735,139,20
22330,139,20
22728,139,20
24060,139,20
26251,139,20
33504,139,20
37275,139,20
45294,139,20
53780,139,20
78628,139,20
82520,139,20
83902,139,20
89918,139,20
91303,139,20
98691,139,20
27398,140,20
27844,140,20
1150,141,20
4228,141,20
12406,141,20
14964,141,20
18942,141,20
21828,141,20
31337,141,20
41387,141,20
56912,141,20
69872,141,20
72311,141,20
98301,141,20
2646,142,20
2994,142,20
18284,142,20
23129,142,20
23284,142,20
25113,142,20
26625,142,20
28579,142,20
31689,142,20
35206,142,20
35432,142,20
37078,142,20
46383,142,20
54968,142,20
58614,142,20
66983,142,20
71452,142,20
74296,142,20
76377,142,20
81409,142,20
82175,142,20
82655,142,20
83138,142,20
86523,142,20
94115,142,20
99169,142,20
44043,143,20
74326,143,20
78930,143,20
87196,143,20
91376,143,20
34603,144,20
37729,144,20
41454,144,20
44336,144,20
11562,145,20
34518,145,20
66382,145,20
74273,145,20
82564,145,20
86470,145,20
96270,145,20
5922,146,20
39843,146,20
40412,146,20
56600,146,20
59894,146,20
73470,146,20
8045,147,20
35240,147,20
55089,147,20
68442,147,20
77716,147,20
81186,147,20
85431,147,20
14274,148,20
14386,148,20
14552,148,20
34033,148,20
47987,148,20
84289,148,20
8966,149,20
11451,149,20
18709,149,20
21894,149,20
22078,149,20
22824,149,20
23585,149,20
26554,149,20
28208,149,20
29741,149,20
33143,149,20
38733,149,20
43358,149,20
44370,149,20
51560,149,20
58049,149,20
59205,149,20
74308,149,20
79165,149,20
82638,149,20
85885,149,20
92286,149,20
98730,149,20
25125,152,20
49282,152,20
52776,152,20
59834,152,20
71094,152,20
83073,152,20
92322,152,20
2737,153,20
12303,153,20
14081,153,20
25731,153,20
27639,153,20
56455,153,20
63483,153,20
76719,153,20
80725,153,20
88533,153,20
5069,154,20
7604,154,20
11941,154,20
16329,154,20
20193,154,20
20385,154,20
21773,154,20
22049,154,20
25710,154,20
25804,154,20
31425,154,20
32129,154,20
35031,154,20
44762,154,20
60922,154,20
76251,154,20
80317,154,20
86632,154,20
98807,154,20
40121,155,20
44619,155,20
54274,155,20
58912,155,20
4986,157,20
16931,157,20
20259,157,20
30308,157,20
49417,157,20
55949,157,20
58581,157,20
65402,157,20
66033,157,20
70030,157,20
95154,157,20
95633,157,20
38506,158,20
51671,158,20
66701,158,20
76048,158,20
78752,158,20
81924,158,20
97778,158,20
10230,159,20
11696,159,20
13619,159,20
18199,159,20
21694,159,20
26145,159,20
36216,159,20
49345,159,20
52806,159,20
56973,159,20
59442,159,20
59736,159,20
61349,159,20
67874,159,20
72878,159,20
76529,159,20
87605,159,20
89002,159,20
95788,159,20
96851,159,20
97248,159,20
1186,160,20
9903,160,20
16026,160,20
41633,160,20
57180,160,20
59191,160,20
70736,160,20
71547,160,20
92176,160,20
95189,160,20
952,161,20
3836,161,20
9944,161,20
10985,161,20
24641,161,20
39522,161,20
50304,161,20
63797,161,20
68601,161,20
72283,161,20
76803,161,20
5992,163,20
6966,163,20
9199,163,20
12106,163,20
17488,163,20
21389,163,20
27571,163,20
36319,163,20
41609,163,20
41873,163,20
44083,163,20
44770,163,20
62023,163,20
63870,163,20
73252,163,20
79105,163,20
80678,163,20
82936,163,20
87042,163,20
97364,163,20
97457,163,20
98104,163,20
2689,164,20
36450,164,20
42888,164,20
66793,164,20
72969,164,20
94132,164,20
66767,165,20
66925,165,20
77323,165,20
53316,166,20
55505,166,20
12748,167,20
22685,167,20
26481,167,20
26709,167,20
27333,167,20
40653,167,20
44616,167,20
45020,167,20
51963,167,20
55313,167,20
58355,167,20
66041,167,20
67682,167,20
76609,167,20
88098,167,20
92358,167,20
95199,167,20
96282,167,20
98050,167,20
4131,168,20
9098,168,20
43784,168,20
47839,168,20
51311,168,20
54648,170,20
3660,171,20
4067,171,20
4236,171,20
7093,171,20
15780,171,20
20610,171,20
20853,171,20
27239,171,20
32434,171,20
32780,171,20
39931,171,20
45891,171,20
48941,171,20
51596,171,20
54262,171,20
65547,171,20
68291,171,20
72951,171,20
79577,171,20
81066,171,20
82662,171,20
85679,171,20
86276,171,20
86530,171,20
86837,171,20
90438,171,20
90808,171,20
92706,171,20
11326,172,20
30938,172,20
33031,172,20
38817,172,20
66388,172,20
79487,172,20
91075,172,20
2629,173,20
64566,173,20
16155,174,20
32445,174,20
57233,174,20
87333,174,20
87746,174,20
12598,175,20
69773,175,20
80602,175,20
85680,175,20
16999,176,20
18957,176,20
37666,176,20
68070,176,20
78593,176,20
12018,178,20
17084,178,20
29167,178,20
29202,178,20
69795,178,20
75839,178,20
80107,178,20
91825,178,20
7491,179,20
8200,179,20
23735,179,20
42387,179,20
46457,179,20
75473,179,20
6309,180,20
37058,180,20
37902,180,20
46171,180,20
59320,180,20
78768,180,20
92810,180,20
23580,181,20
24709,181,20
25450,181,20
41270,181,20
77067,181,20
84074,181,20
10640,182,20
19162,182,20
31194,182,20
34233,182,20
38999,182,20
39861,182,20
54309,182,20
55512,182,20
60717,182,20
73190,182,20
78110,182,20
16586,183,20
20228,183,20
45558,183,20
69643,183,20
76379,183,20
91498,183,20
14693,184,20
14929,184,20
16952,184,20
22626,184,20
29982,184,20
34405,184,20
44006,184,20
63935,184,20
65740,184,20
87374,184,20
94107,184,20
97167,184,20
5563,185,20
24727,185,20
46384,185,20
80567,185,20
83441,185,20
84464,185,20
99555,185,20
16685,186,20
21229,186,20
25996,186,20
27830,186,20
31618,186,20
44093,186,20
59633,186,20
67919,186,20
73405,186,20
19757,188,20
63575,188,20
39649,189,20
43043,189,20
61971,190,20
74824,190,20
3361,191,20
22010,191,20
52118,191,20
57532,191,20
88963,191,20
95351,191,20
438,192,20
7618,192,20
12762,192,20
16762,192,20
18187,192,20
22610,192,20
24399,192,20
32191,192,20
58365,192,20
59474,192,20
59570,192,20
72239,192,20
81373,192,20
88599,192,20
1034,193,20
15225,193,20
23634,193,20
49221,193,20
64187,193,20
71021,193,20
75297,193,20
10032,194,20
12607,194,20
22639,194,20
28327,194,20
42731,194,20
62641,194,20
70733,194,20
85944,194,20
96644,194,20
833,195,20
4030,195,20
9212,195,20
9584,195,20
13849,195,20
19759,195,20
23992,195,20
31534,195,20
33328,195,20
35991,195,20
41457,195,20
46956,195,20
49524,195,20
53082,195,20
55179,195,20
65285,195,20
76930,195,20
77101,195,20
80717,195,20
83294,195,20
83813,195,20
92049,195,20
96231,195,20
29018,196,20
46688,196,20
59431,196,20
74554,196,20
89418,196,20
3881,197,20
9327,197,20
11232,197,20
13118,197,20
15487,197,20
18552,197,20
22428,197,20
25433,197,20
31740,197,20
48667,197,20
56084,197,20
57835,197,20
59561,197,20
66461,197,20
68692,197,20
68990,197,20
74832,197,20
80608,197,20
85119,197,20
87902,197,20
88239,197,20
89004,197,20
7675,198,20
34475,198,20
44255,198,20
47254,198,20
55454,198,20
63520,198,20
67554,198,20
74602,198,20
10297,199,20
14235,199,20
15485,199,20
19629,199,20
19632,199,20
20262,199,20
26448,199,20
57637,199,20
71822,199,20
84316,199,20
88053,199,20
89643,199,20
3342,200,20
7435,200,20
13165,200,20
14553,200,20
17624,200,20
22440,200,20
25077,200,20
26604,200,20
26607,200,20
30536,200,20
33313,200,20
33432,200,20
34506,200,20
35222,200,20
36904,200,20
37531,200,20
45839,200,20
52159,200,20
64985,200,20
66136,200,20
66695,200,20
67785,200,20
72981,200,20
79061,200,20
81483,200,20
84382,200,20
85470,200,20
86588,200,20
92688,200,20
94092,200,20
103,201,20
3359,201,20
15976,201,20
16907,201,20
20293,201,20
26664,201,20
37462,201,20
42462,201,20
51421,201,20
52775,201,20
57590,201,20
68080,201,20
81224,201,20
84678,201,20
89018,201,20
90418,201,20
94427,201,20
96528,201,20
3355,202,20
4675,202,20
10331,202,20
11160,202,20
19079,202,20
20208,202,20
29873,202,20
37148,202,20
41322,202,20
43300,202,20
52251,202,20
56069,202,20
56193,202,20
59572,202,20
61466,202,20
69867,202,20
78444,202,20
78931,202,20
84163,202,20
91180,202,20
94950,202,20
4221,203,20
5769,203,20
24245,203,20
30065,203,20
30438,203,20
31585,203,20
38391,203,20
40991,203,20
41341,203,20
41850,203,20
43506,203,20
45130,203,20
46990,203,20
48099,203,20
49296,203,20
51577,203,20
57349,203,20
59542,203,20
65950,203,20
71819,203,20
76902,203,20
87082,203,20
88752,203,20
97456,203,20
98210,203,20
3336,204,20
4069,204,20
5629,204,20
7208,204,20
15393,204,20
15831,204,20
18275,204,20
25392,204,20
29169,204,20
33153,204,20
34035,204,20
34709,204,20
35047,204,20
35601,204,20
39236,204,20
39375,204,20
42472,204,20
42877,204,20
42976,204,20
43675,204,20
45963,204,20
51499,204,20
53576,204,20
55545,204,20
67912,204,20
70585,204,20
78993,204,20
81581,204,20
81785,204,20
83295,204,20
87580,204,20
91061,204,20
91819,204,20
97509,204,20
98752,204,20
99942,204,20
10860,205,20
11550,205,20
28873,205,20
57487,205,20
75711,205,20
78799,205,20
81096,205,20
88827,205,20
89599,205,20
8558,206,20
9884,206,20
30601,206,20
33232,206,20
38172,206,20
52860,206,20
54461,206,20
62730,206,20
79320,206,20
87565,206,20
89301,206,20
96957,206,20
99926,206,20
43460,207,20
48919,207,20
61826,207,20
85651,207,20
88188,207,20
5268,208,20
6144,208,20
9355,208,20
11118,208,20
11440,208,20
14772,208,20
19941,208,20
23600,208,20
26192,208,20
28333,208,20
29921,208,20
31864,208,20
33256,208,20
37996,208,20
41009,208,20
41696,208,20
42979,208,20
44889,208,20
49797,208,20
50080,208,20
52562,208,20
57279,208,20
59071,208,20
60670,208,20
60917,208,20
61438,208,20
64242,208,20
64772,208,20
68285,208,20
68451,208,20
73966,208,20
77279,208,20
77366,208,20
80556,208,20
82847,208,20
86122,208,20
86843,208,20
88663,208,20
91117,208,20
95439,208,20
95643,208,20
98999,208,20
16482,209,20
30366,209,20
37647,209,20
40746,209,20
98040,209,20
1646,210,20
19636,210,20
21294,210,20
25233,210,20
28064,210,20
35648,210,20
38997,210,20
40580,210,20
50821,210,20
53256,210,20
63765,210,20
72201,210,20
72578,210,20
77625,210,20
94391,210,20
1667,211,20
2600,211,20
9162,211,20
10210,211,20
10252,211,20
17383,211,20
23901,211,20
23971,211,20
29860,211,20
37002,211,20
39091,211,20
42516,211,20
43004,211,20
49031,211,20
55575,211,20
56282,211,20
62089,211,20
66654,211,20
68716,211,20
75328,211,20
82508,211,20
84218,211,20
86155,211,20
86197,211,20
90972,211,20
92203,211,20
96565,211,20
99517,211,20
4450,212,20
24833,212,20
26566,212,20
27133,212,20
29702,212,20
31415,212,20
31560,212,20
33940,212,20
40641,212,20
46225,212,20
48066,212,20
50012,212,20
51122,212,20
51901,212,20
53949,212,20
56390,212,20
59491,212,20
60297,212,20
63331,212,20
63794,212,20
65204,212,20
66564,212,20
68654,212,20
69759,212,20
73021,212,20
74138,212,20
75019,212,20
75467,212,20
79880,212,20
82288,212,20
89621,212,20
89937,212,20
90375,212,20
91542,212,20
93724,212,20
96858,212,20
1350,213,20
13002,213,20
17454,213,20
19073,213,20
19818,213,20
21507,213,20
22633,213,20
23229,213,20
24630,213,20
29482,213,20
41017,213,20
47089,213,20
48881,213,20
49281,213,20
59571,213,20
62038,213,20
64067,213,20
65124,213,20
66385,213,20
67783,213,20
68595,213,20
72202,213,20
73153,213,20
74692,213,20
89191,213,20
93287,213,20
3911,214,20
9595,214,20
12736,214,20
12880,214,20
14418,214,20
19067,214,20
19596,214,20
19669,214,20
22046,214,20
23183,214,20
26292,214,20
31084,214,20
33245,214,20
34362,214,20
34835,214,20
35081,214,20
36030,214,20
36592,214,20
36897,214,20
37464,214,20
42110,214,20
44040,214,20
44391,214,20
46498,214,20
47214,214,20
57411,214,20
57545,214,20
58304,214,20
60253,214,20
67458,214,20
67788,214,20
69363,214,20
74370,214,20
75692,214,20
75930,214,20
79642,214,20
83282,214,20
86508,214,20
87218,214,20
90249,214,20
90769,214,20
91082,214,20
91773,214,20
91814,214,20
98443,214,20
21,215,20
1782,215,20
6655,215,20
6848,215,20
11371,215,20
11924,215,20
14075,215,20
14588,215,20
20323,215,20
20747,215,20
29639,215,20
34232,215,20
35492,215,20
36613,215,20
37506,215,20
37937,215,20
43678,215,20
45146,215,20
50778,215,20
52322,215,20
57708,215,20
63207,215,20
63486,215,20
64331,215,20
66660,215,20
66698,215,20
66886,215,20
67197,215,20
67661,215,20
70208,215,20
74797,215,20
75256,215,20
80375,215,20
83521,215,20
85995,215,20
87594,215,20
93514,215,20
93556,215,20
94482,215,20
