# =====================================================================
# Super Ace 轉輪帶還原表（初始滾停畫面用｜帶長 200）
# =====================================================================
# 產生日期   : 2026-08-13
# 資料來源   : JILI Super Ace 實機側錄 JSONL
#              BG = Combined_NoJP + BG_3 + BG_4（166,050 spins，初始盤面）
#              FG = 上述檔案 + feature_buy x2 的 FG 盤面（22,565 spins）
# 還原方法   : 4-格窗 de Bruijn 圖 + 最小成本流配平 + 補圈至 200 格
#              + Euler 迴圈組帶；逐格停輪權重 = 實測頻率 / 帶上重複數
#
# 符號對照   : M1=ACE(Symbol1)  M2=K(Symbol2)  M3=Q(Symbol3)  M4=J(Symbol4)
#              A=低分1(Symbol5) K=低分2(Symbol6) Q=低分3(Symbol7) J=低分4(Symbol8)
#              C1=Scatter(Bonus)
#
# 使用規則   :
#  1. 每輪帶長固定 200，循環帶。停輪位置 p 的盤面 = 帶上 p, p+1, p+2, p+3 四格。
#  2. 停輪權重（*_stopW）已正規化為平均 1.000。各輪獨立依權重抽停輪位置，
#     即可精確重現側錄資料各輪的初始窗格分布（含停輪加權效果；
#     輪與輪之間為獨立抽樣，與一般轉輪帶模型相同）。
#  3. 每個側錄中實際出現過的 4-格窗（RNG 停點）都在對應輪帶上，
#     權重 > 0 的格子皆為實測出現過的窗格，無虛構停點。
#  4. BG 需搭配【Scatter 抑制層】：盤面若將出現恰好 2 個 Scatter，
#     有 37.1% 機率將其中 1 個（不含 R1）換成一般符號。
#     被抑制後顯示的 63 種變體窗格不是輪帶停點（詳見文末
#     [BG_ScatterSuppression] 對照表），由抑制層動態產生。
#     FG 資料中無任何抑制痕跡，FG 不需此層。
#  5. 金框(Golden Card)與連消補牌不在輪帶內，為獨立圖層/權重表
#     （參照 轉輪帶還原_Super_Ace.md §8 §9）。
#  6. 帶上排列順序在統計上不唯一（同一窗格集合可有多種循環排列），
#     但盤面機率分布唯一，與 JILI 原版統計等價。
# =====================================================================

[BG]
Pos	R1	R2	R3	R4	R5	R1_stopW	R2_stopW	R3_stopW	R4_stopW	R5_stopW
60	A	A	Q	K	J	0.3846	1.1177	1.0973	0.2606	0.5974
61	M2	M4	M3	K	K	0.3722	1.2273	1.1009	0.2606	0.5956
62	K	M3	K	K	A	0.4139	1.1165	1.1093	0.2606	0.5559
63	M2	M4	M2	K	M4	0.3485	1.1659	1.1683	0.2606	0.5781
64	J	M2	M2	K	M3	0.5447	1.1575	1.0696	1.1840	0.5589
65	K	Q	M2	K	M2	1.0671	1.1262	1.0840	1.0286	0.5848
66	A	K	J	K	Q	1.0599	1.1226	1.0961	1.1948	0.6058
67	M2	M4	A	M3	Q	1.0298	0.9985	0.9961	1.1430	0.5805
68	C1	A	Q	C1	Q	1.1900	1.0286	1.1527	1.2045	0.5703
69	J	Q	M3	Q	M3	1.2298	1.0961	1.0804	1.2141	0.5763
70	A	J	K	K	J	1.1972	1.1406	1.0756	0.7897	0.5974
71	K	C1	K	M4	K	1.1599	1.2225	1.0587	0.7825	1.1671
72	K	K	A	M4	A	1.1900	1.1213	1.0852	0.4854	1.2285
73	A	A	M4	M4	M4	0.5101	1.0708	1.1165	0.2951	1.1563
74	K	M1	Q	K	M1	0.5510	1.1984	1.2550	0.7897	1.1707
75	M2	Q	Q	M4	Q	1.0202	1.0900	0.5926	1.1093	1.1527
76	J	J	M3	M4	M2	1.1358	1.1719	0.5860	1.1647	1.1466
77	A	J	M2	M4	J	1.1394	1.1442	0.7837	1.1539	1.1755
78	Q	M1	Q	M2	M4	1.1876	1.1033	0.8897	1.2117	1.1394
79	Q	A	Q	M1	K	1.0503	1.1117	0.6877	1.1418	1.0780
80	M3	J	J	Q	K	1.1075	1.0105	0.6209	1.2285	1.1533
81	K	A	J	M2	K	1.1539	1.0647	1.2057	1.2189	1.1165
82	M2	M3	Q	Q	Q	1.1804	1.1707	1.3032	1.2171	1.1274
83	M1	Q	M3	Q	M2	1.1033	1.1719	1.2683	1.1840	1.1238
84	Q	M2	M3	A	A	1.0756	1.2418	1.3418	1.1960	1.0744
85	M2	M2	J	M3	K	1.0202	1.2105	0.8857	1.2382	1.1322
86	M2	K	J	M3	M3	1.0407	1.2960	0.8078	1.2069	1.1527
87	A	M4	M3	M1	M1	1.1370	1.3538	0.8295	1.2502	1.1045
88	Q	C1	M3	K	M2	1.1382	1.3490	1.0985	1.1671	1.1659
89	J	M1	Q	A	M3	1.2237	1.3562	1.1057	1.1792	1.1816
90	J	M4	J	C1	C1	1.1888	1.3129	1.0479	1.1129	1.1129
91	M3	M4	A	M2	J	1.1936	1.1635	1.1262	1.1587	1.2105
92	M1	M4	Q	M4	A	1.2394	1.1322	1.2671	1.2322	1.1527
93	M4	K	K	J	K	1.2189	1.1250	1.2478	1.2225	1.1442
94	M4	Q	M1	Q	M2	1.2008	1.1719	1.1382	1.1719	1.1852
95	M4	M3	K	Q	M4	1.0732	1.0635	1.1057	1.2225	1.1707
96	J	M1	C1	Q	Q	1.1442	1.1816	1.1743	1.2141	1.1466
97	K	Q	M2	K	M3	1.1382	1.0382	1.0684	0.4465	1.1418
98	M2	A	M3	M4	M1	1.1755	1.1454	1.1021	0.4854	1.1587
99	M1	M4	M3	M4	M1	1.0961	1.1563	1.1286	0.2951	1.1659
100	J	M3	A	K	M1	1.0105	1.1346	1.1406	0.4465	1.1478
101	M2	M3	K	M4	A	1.1045	1.0780	1.1021	0.4854	0.7733
102	M3	J	Q	M4	M2	1.1454	1.0756	1.1129	0.2951	0.7295
103	Q	M1	J	K	M2	1.2490	1.1466	1.0635	0.4465	0.6058
104	J	M2	M4	M4	M2	1.1033	1.1280	1.0467	0.4854	0.5775
105	Q	M3	M4	M4	M3	1.0973	1.1045	1.1563	0.2951	0.7660
106	J	M4	A	K	M4	1.2538	1.1262	0.9985	1.1731	1.1472
107	M3	A	C1	M4	A	1.1936	1.1286	1.1358	1.1346	1.1695
108	M3	K	M4	M4	K	1.0563	1.2298	0.9539	1.1984	1.1599
109	J	Q	M3	Q	J	1.0912	1.2526	1.1238	1.1840	1.1755
110	Q	M4	M2	K	M1	1.1635	1.2406	1.1647	1.1864	1.1611
111	M2	K	J	J	Q	1.2490	1.1346	1.3707	1.2093	1.1250
112	K	M4	M1	M3	M2	1.2129	1.1828	1.2310	1.2659	1.1551
113	K	A	M1	M3	M1	1.2322	1.2225	1.0744	1.1840	1.1611
114	K	M2	M1	K	A	1.1394	1.2008	1.0455	1.1683	1.1454
115	M4	K	A	Q	A	1.0575	1.1238	1.0503	1.2165	1.1695
116	M1	M2	M2	J	M2	1.0202	1.1755	1.1406	1.1587	0.5775
117	Q	Q	M3	Q	M3	0.9828	1.1141	1.3418	1.2382	0.7660
118	A	M4	J	M4	M4	1.0539	1.1274	0.8857	1.2020	1.1472
119	M2	M2	J	A	A	1.0563	1.1069	0.8078	1.2153	1.1984
120	M3	J	M3	Q	K	1.2237	1.2310	0.8295	1.2767	1.2057
121	K	M4	M3	M1	J	1.1768	1.1768	0.6546	1.2093	1.0816
122	J	M4	Q	K	Q	1.1743	1.0178	0.6877	1.1370	1.1599
123	J	J	J	M2	K	1.1093	1.1430	0.6209	1.1888	1.1286
124	A	M1	J	Q	A	1.1876	1.2840	0.5589	1.2105	1.1719
125	M1	Q	Q	M1	J	1.1852	1.1298	0.5926	1.1454	1.1394
126	M3	M1	M3	J	M3	1.2743	1.1575	0.5860	1.2020	1.1418
127	M3	K	M2	Q	Q	1.1888	1.2840	0.7837	1.2261	0.6083
128	J	A	Q	K	M3	1.2117	0.7388	0.8897	1.1780	0.5504
129	J	M4	Q	M1	M3	1.1105	1.2322	0.6335	1.1226	0.5607
130	K	M4	J	M4	C1	1.1515	0.6022	0.8857	1.1996	0.5679
131	A	M2	J	J	A	1.1719	0.6010	0.8078	1.1683	0.7733
132	M4	A	M3	M1	M2	1.2081	0.7388	1.3430	1.1220	0.7295
133	K	M4	M3	M4	M2	1.1792	0.6790	1.2719	1.1454	1.1563
134	K	M4	Q	M3	M2	1.1816	0.7052	1.2478	1.1587	1.1792
135	M3	M2	Q	J	M3	1.0936	0.8267	1.1533	1.1960	1.1719
136	M2	M2	Q	J	A	1.1033	0.8303	1.1250	1.1695	1.1274
137	M1	M2	M2	M2	M2	1.0708	0.7410	1.0647	1.1984	1.2659
138	Q	A	M3	M1	A	1.1515	0.6101	1.1105	1.1575	1.1948
139	K	A	Q	A	A	0.5872	0.5679	1.0942	1.2129	0.7684
140	A	A	M2	M2	K	0.7889	0.6089	1.0732	1.1804	1.1009
141	A	M2	M3	K	Q	0.5655	0.7410	1.1009	0.5935	1.1033
142	M4	A	J	K	J	0.5836	0.8455	1.2069	1.1599	1.1743
143	M4	A	M2	Q	J	0.5245	1.3273	1.0864	1.1599	1.1466
144	M2	A	J	K	Q	0.3810	1.1912	0.5589	1.1888	1.1768
145	J	M4	Q	Q	K	0.5354	1.2888	0.9768	1.1755	1.1033
146	A	M1	M3	Q	C1	0.5101	1.2442	1.0671	1.2057	1.1683
147	K	M4	M2	Q	J	0.5510	1.3225	1.0178	1.1731	1.1009
148	M2	M2	A	A	M3	0.3810	1.3755	1.0671	1.1659	1.1466
149	J	M4	M2	M2	Q	0.5462	1.2249	0.7837	1.1755	1.1755
150	A	M4	Q	M2	A	0.6185	1.1972	0.6564	1.0792	1.1611
151	K	M4	Q	M3	M2	0.5872	1.2490	0.6366	1.1659	1.1743
152	A	J	J	J	K	0.7889	1.2117	0.6661	1.2081	1.1960
153	A	J	M3	K	A	0.5655	1.0936	0.6540	1.1671	1.1358
154	M4	J	J	M1	Q	0.5836	1.1009	0.6829	1.1220	1.1683
155	M4	M4	Q	M4	M3	0.5245	1.3309	0.6564	1.1936	1.0973
156	M2	K	Q	M3	M1	0.3810	1.2900	0.6366	1.1924	1.2117
157	J	M1	J	J	J	0.5462	1.2310	0.6661	1.1563	1.1647
158	A	M1	M3	M2	J	0.6185	1.1322	0.6540	1.2093	1.1900
159	K	M3	J	M3	M1	1.1924	1.0973	1.3550	1.1563	1.1213
160	A	M2	Q	Q	A	1.0949	1.1984	0.3165	1.1912	1.1430
161	A	Q	Q	Q	M3	1.0708	1.1454	0.3165	1.1804	0.7660
162	M3	M2	Q	M2	M4	1.1442	0.6010	0.3165	1.1623	0.3878
163	M2	A	Q	M4	A	1.1286	0.7388	0.3165	1.2033	0.7684
164	J	M4	Q	A	K	1.1647	0.6790	1.2478	1.1599	0.5679
165	J	M4	Q	M1	Q	1.0942	0.7052	1.1533	1.1563	0.5733
166	A	M2	Q	K	J	0.7889	0.8267	1.0840	1.1984	0.5884
167	A	M2	M2	M3	M4	1.1250	0.8303	1.0190	1.2177	0.3878
168	M4	M2	M3	M1	A	1.1153	0.7410	1.1707	1.1888	0.7684
169	M4	A	M1	M3	K	1.0744	0.8455	1.2671	1.2261	0.5679
170	K	A	M4	M4	Q	1.1382	0.6329	1.1033	1.2466	0.5733
171	M2	A	M4	A	J	1.2550	0.7388	1.1117	1.2020	0.5884
172	Q	M4	M4	K	M4	1.2008	0.6790	1.1165	1.1936	0.3878
173	Q	M4	A	Q	A	1.2273	0.6239	1.1695	1.2406	0.6064
174	Q	M2	A	J	K	1.1274	0.6462	1.0479	1.1454	0.5836
175	M1	M2	A	M4	Q	1.1635	0.6016	1.0382	1.1852	0.6083
176	J	M4	J	K	M3	1.2153	1.2057	1.1033	1.1418	0.5504
177	A	M2	K	J	M3	1.1816	1.2334	1.1021	1.1310	0.5607
178	A	A	Q	M3	C1	1.1755	0.5679	1.0942	1.1322	0.5679
179	K	A	M2	A	A	1.2033	0.6089	1.0804	1.1755	0.7733
180	M1	M2	M3	M4	M2	1.1912	0.7410	1.0611	1.2008	0.7295
181	J	A	J	M4	M2	1.0816	0.8455	1.0382	0.3987	0.6058
182	J	A	M4	M4	M2	1.0033	0.6329	1.0407	0.5836	1.1828
183	M2	A	A	Q	M3	1.1081	0.7388	1.0973	0.4095	1.1575
184	M3	M4	Q	M4	M4	1.1105	0.6790	1.2538	0.3987	1.1539
185	A	M4	M3	M4	K	1.1310	0.6239	1.1731	0.5836	1.1984
186	C1	M2	J	Q	A	1.1358	0.6462	1.1430	0.4095	1.1623
187	M1	M2	J	M4	A	1.0696	0.6016	1.2069	0.3987	1.1189
188	Q	M4	M2	M4	A	0.9575	0.6022	1.1418	0.5836	1.1731
189	M2	M2	J	Q	M1	1.0635	1.2045	1.1177	0.4095	1.1888
190	A	A	Q	M4	Q	1.1719	1.1370	1.1346	1.1262	1.1972
191	J	M4	Q	M4	J	1.2045	1.1780	1.0708	1.1623	1.1623
192	K	A	A	Q	M2	1.2081	1.1346	1.1503	1.1635	1.1226
193	J	M3	J	Q	J	0.5354	1.2840	1.2960	1.1503	1.1563
194	A	C1	M3	K	M4	1.0804	1.2322	1.2538	1.0961	1.1852
195	K	M2	M3	C1	M3	1.1768	1.1280	0.8295	1.1695	1.1840
196	M2	M3	M3	M4	M3	1.1382	1.1575	0.6546	1.1852	1.0888
197	M4	M4	Q	K	M3	1.1587	1.1804	0.6335	1.2575	1.1780
198	M2	A	J	K	K	1.0599	1.3406	1.2960	1.1695	1.1647
199	M1	M4	J	M3	M1	1.2093	1.1527	1.2659	1.2298	1.2249

[FG]
Pos	R1	R2	R3	R4	R5	R1_stopW	R2_stopW	R3_stopW	R4_stopW	R5_stopW
0	J	M3	M3	M4	J	0.3811	1.2320	0.8066	0.6138	1.2497
1	A	M2	M3	Q	M3	0.3929	1.1788	0.5850	0.4195	1.2409
2	K	M3	Q	M4	Q	0.3841	1.1389	1.2320	1.2231	1.0547
3	K	M4	J	M4	A	0.4373	1.1611	1.2586	1.2320	1.2320
4	A	A	J	Q	M2	1.0281	1.2320	1.1345	1.2674	1.0281
5	K	M4	Q	K	K	1.0547	1.1877	1.1345	1.2852	1.3561
6	M2	M3	K	J	A	0.9129	1.2320	1.2852	1.1965	1.1434
7	M4	M3	M1	M3	Q	1.2054	1.2143	1.1788	1.3295	0.9572
8	M2	J	K	A	M3	1.1168	1.2409	1.1256	1.0725	1.2231
9	M1	M1	C1	M4	M1	1.1788	1.2852	1.4004	0.7977	1.2054
10	M4	M2	M2	M4	J	1.1788	1.1788	1.1168	0.5650	1.2231
11	Q	M3	M3	M4	J	1.0813	1.1389	1.2054	0.3900	1.0016
12	K	M4	M3	K	M1	1.2231	1.2497	1.0016	0.7977	1.2143
13	M3	A	A	M4	A	0.9838	1.2763	1.2143	0.7977	1.1079
14	Q	M4	K	M4	M3	1.1700	1.2940	1.1168	0.5650	0.8066
15	Q	K	Q	M4	M4	1.0459	1.1256	1.1611	0.3900	0.6692
16	J	K	J	K	A	1.0725	1.2143	1.4270	0.7977	1.1744
17	J	M2	M4	M4	K	1.1079	1.0193	1.2940	0.7977	1.2143
18	M1	M2	M4	M4	Q	1.0990	1.2320	1.1345	0.5650	1.3738
19	M2	A	A	M4	J	1.1788	1.3029	1.0813	0.3900	1.0990
20	M3	Q	A	K	M4	1.0547	1.3029	1.1168	0.7977	1.2143
21	M4	M2	A	M4	J	1.2231	1.2852	1.1079	1.1611	0.9572
22	A	Q	J	M4	Q	1.1168	1.3384	1.2497	1.3295	1.1877
23	K	Q	K	M4	K	1.1611	1.1965	1.3029	1.1434	1.1965
24	M1	M2	Q	M2	A	0.8686	1.2763	1.1168	1.3206	1.1611
25	A	K	M2	M1	J	1.1611	1.1522	1.2763	1.1877	1.2674
26	J	M4	M3	Q	M3	1.1079	1.1168	1.1788	1.3472	1.1079
27	M4	C1	Q	M2	K	1.0459	1.2852	0.8006	1.1434	1.1168
28	K	M1	M2	Q	M2	1.2409	1.4713	1.4270	1.0725	1.0813
29	M1	M4	M3	Q	M1	1.0902	1.0725	1.1700	1.2940	1.1788
30	J	M4	J	A	J	1.0547	1.2054	1.1965	1.1611	1.1788
31	J	M4	J	M2	K	1.0016	1.0370	0.8509	1.3206	1.1965
32	M2	J	M2	M2	M4	1.3561	1.2320	1.1877	1.0547	1.1345
33	M3	J	J	M3	A	1.0813	1.1877	1.1079	1.2143	1.2409
34	A	J	Q	J	M3	1.2054	1.2409	1.1345	1.1522	1.1788
35	C1	M4	M3	K	K	1.1700	1.1434	0.9484	1.1877	1.2231
36	M1	K	M3	M1	K	0.9395	1.0725	1.1079	1.1877	1.2763
37	Q	M1	J	M4	Q	1.2054	1.2409	0.7297	1.2586	1.0902
38	M2	M1	J	M3	M2	1.3118	1.2497	0.7947	1.0281	1.3206
39	M2	M3	M3	J	A	1.1611	1.1168	0.8066	1.1434	1.1345
40	A	M2	M3	J	K	1.1256	1.1611	0.5850	1.1700	1.3029
41	Q	Q	Q	M2	M3	1.0193	1.1965	1.1788	1.0547	1.2143
42	J	M2	J	M1	M1	1.0281	0.3870	1.0547	1.2054	1.1700
43	J	A	J	A	M2	1.1168	0.6012	1.2231	1.3029	1.1965
44	M3	M4	M1	M2	M3	1.1788	0.8006	1.3118	1.1788	1.1567
45	M1	M4	J	K	J	1.2497	0.6204	0.8509	0.2526	1.1877
46	M4	M2	M2	K	A	1.3649	0.5938	0.6647	0.2526	1.2054
47	M4	M2	J	K	K	1.2586	0.6204	1.2320	0.2526	1.1877
48	M4	M2	Q	K	M2	1.1877	0.9063	1.0902	0.2526	1.0547
49	J	A	Q	K	M4	1.1877	0.4117	1.2940	0.2526	1.2143
50	K	A	A	K	Q	1.3649	0.4117	1.2320	0.2526	1.1700
51	M2	A	J	K	M3	1.2940	0.4117	1.1700	0.2526	0.9838
52	M1	A	M3	K	M1	1.0636	0.4117	0.9750	0.2526	1.1611
53	M4	A	M1	K	M1	1.1700	0.4117	1.0990	0.2526	1.1256
54	A	A	M4	K	M1	1.3206	0.4117	1.1965	0.2526	0.9750
55	K	A	M4	K	A	1.0636	0.4117	1.1168	1.1877	1.2054
56	Q	A	M4	K	M2	1.2409	0.4117	1.0459	0.6692	1.3384
57	J	A	A	K	A	0.5517	0.4117	1.1434	0.6204	1.0725
58	K	A	C1	M3	J	1.0547	0.7563	1.1434	0.5717	0.8509
59	A	A	M4	C1	Q	1.1611	1.2320	1.3561	0.6647	1.1877
60	M2	A	M3	Q	A	1.3029	1.0813	1.1788	0.8420	1.1700
61	C1	M4	M2	K	Q	0.9661	1.2852	1.1611	0.6249	1.2231
62	J	M1	J	M4	M3	0.3811	1.2497	1.1256	0.5650	1.2143
63	A	M4	M1	M4	J	0.3929	1.0104	1.1877	1.1611	1.3029
64	K	M2	M1	K	K	0.3841	1.1611	1.1877	1.0547	1.3206
65	K	M4	M1	M4	A	0.4373	1.0813	1.1965	0.5274	1.2143
66	A	M4	A	Q	M4	0.3929	1.2231	1.1168	0.7297	1.2940
67	K	M4	M2	Q	M1	0.3841	1.1788	0.8066	0.8420	1.1434
68	M2	K	M3	K	Q	0.3634	1.2054	1.1965	0.6249	1.2586
69	J	Q	J	M4	M2	0.3811	1.4004	1.1611	1.4890	1.2231
70	A	M3	M4	M4	M1	0.3929	1.1079	0.9306	1.2763	1.1522
71	K	M1	A	K	A	0.3841	1.1788	1.2054	1.2320	1.2852
72	K	Q	Q	Q	A	0.4373	1.0104	1.3472	1.2143	1.1965
73	A	A	M3	K	M2	0.3929	1.2852	1.1079	1.0370	0.6382
74	K	M4	J	Q	M3	0.3841	1.2852	0.7297	1.2231	0.8066
75	M2	M3	J	Q	M4	0.3634	1.3915	0.7947	0.7297	0.6692
76	J	M4	M3	Q	A	1.1611	1.1522	0.8066	0.8420	1.1744
77	A	M2	M3	K	K	0.3929	1.2940	1.2054	0.6293	1.1700
78	K	Q	Q	M4	Q	0.3841	1.2497	1.1345	0.3663	1.1345
79	M2	K	J	M4	J	0.3634	0.9572	1.2320	0.6138	1.0725
80	J	M4	A	Q	J	1.1965	1.0547	1.2143	0.4195	1.3029
81	A	A	Q	M4	Q	1.1700	1.3472	1.2231	0.3663	1.2763
82	K	Q	K	M4	K	1.0990	1.2852	1.1522	0.6138	1.1700
83	A	J	M1	Q	C1	1.0547	1.1877	1.0370	0.4195	1.3206
84	A	C1	A	M4	J	1.1877	1.3295	1.1434	0.3663	0.6116
85	M4	K	M4	M4	M3	1.1877	1.2497	0.9306	0.6138	0.6825
86	M4	A	K	Q	Q	1.1611	1.2231	1.2497	1.2231	0.5761
87	K	M1	M4	M4	M3	1.2940	1.2054	1.1522	1.0459	0.6647
88	M2	Q	M1	M4	M3	1.2409	1.2497	1.1788	0.6116	0.5274
89	Q	J	J	M4	A	1.1522	1.1788	1.2054	0.5274	0.7859
90	Q	J	K	Q	M2	1.1345	1.0459	1.2763	0.7297	0.8243
91	Q	M1	A	Q	M2	1.2143	1.2231	1.1256	0.5717	0.6027
92	M1	A	A	K	M2	1.1345	1.1611	1.3118	0.5850	0.6382
93	J	J	M4	M4	M3	1.0769	1.1345	1.2409	0.6204	0.8066
94	A	A	M4	K	M4	1.0547	1.2497	1.1345	0.6692	1.3206
95	A	M3	M3	K	A	0.9838	1.1700	1.2409	0.6204	1.0813
96	M4	Q	M3	M3	K	1.1965	1.2054	1.1965	0.5717	1.2852
